urn:val:signal:dec07:n2:vert,en,,"N2 (Cycle tourist) - Green"
urn:val:signal:dec07:n2:vert,de,,"N2 (Fahrradtourist)-grün"
urn:val:signal:dec07:n2b:vert,fr,,"N2 bis (Points-Nœuds) – Vert"
urn:val:signal:dec07:n2b:vert,nl,,"N2 bis (Knooppunten) - Groen"
urn:val:signal:dec07:n2b:vert,en,,"N2 bis (Connection points) - Green"
urn:val:signal:dec07:n2b:vert,de,,"N2 bis (Knotenpunkte)-grün"
urn:val:signal:dec07:n3:bleu,fr,,"N3 (Vététiste) - Bleu"
urn:val:signal:dec07:n3:bleu,nl,,"N3 (MTB) - Blauw"
urn:val:signal:dec07:n3:bleu,en,,"N3 (Mountain biker) - Blue"
urn:val:signal:dec07:n3:bleu,de,,"N3 (Mountainbiker)-blau"
urn:val:signal:dec07:n3:jaune,fr,,"N3 (Vététiste) - Jaune"
urn:val:signal:dec07:n3:jaune,nl,,"N3 (MTB) - Geel"
urn:val:signal:dec07:n3:jaune,en,,"N3 (Mountain biker) - Yellow"
urn:val:signal:dec07:n3:jaune,de,,"N3 (Mountainbiker)-gelb"
urn:val:signal:dec07:n3:rouge,fr,,"N3 (Vététiste) - Rouge"
urn:val:signal:dec07:n3:rouge,nl,,"N3 (MTB) - Rood"
urn:val:signal:dec07:n3:rouge,en,,"N3 (Mountain biker) - Red"
urn:val:signal:dec07:n3:rouge,de,,"N3 (Mountainbiker)-rot"
urn:val:signal:dec07:n3:vert,fr,,"N3 (Vététiste) - Vert"
urn:val:signal:dec07:n3:vert,nl,,"N3 (MTB) - Groen"
urn:val:signal:dec07:n3:vert,en,,"N3 (Mountain biker) - Green"
urn:val:signal:dec07:n3:vert,de,,"N3 (Mountainbiker)-grün"
urn:val:signal:dec07:n4:orange,fr,,"N4 (Attelage)"
urn:val:signal:dec07:n4:orange,nl,,"N4 (Span)"
urn:val:signal:dec07:n4:orange,en,,"N4 (Horse-drawn carriage)"
urn:val:signal:dec07:n4:orange,de,,"N4 (Gespann)"
urn:val:signal:dec07:n4b:orange,fr,,"N4 (Cavalier)"
urn:val:signal:dec07:n4b:orange,nl,,"N4 (Ruiter)"
urn:val:signal:dec07:n4b:orange,en,,"N4 (Rider)"
urn:val:signal:dec07:n4b:orange,de,,"N4 (Reiter)"
urn:val:signal:dec07:n5:bleu,fr,,"N5 (Skieur de fond) - Bleu"
urn:val:signal:dec07:n5:bleu,nl,,"N5 (Langlaufer) - Blauw"
urn:val:signal:dec07:n5:bleu,en,,"N5 (Cross-country skier) - Blue"
urn:val:signal:dec07:n5:bleu,de,,"N5 (Ski-Langläufer)-blau"
urn:val:signal:dec07:n5:noir,fr,,"N5 (Skieur de fond) - Noir"
urn:val:signal:dec07:n5:noir,nl,,"N5 (Langlaufer) - Geel"
urn:val:signal:dec07:n5:noir,en,,"N5 (Cross-country skier) - Black"
urn:val:signal:dec07:n5:noir,de,,"N5 (Ski-Langläufer)-schwarz"
urn:val:signal:dec07:n5:rouge,fr,,"N5 (Skieur de fond) - Rouge"
urn:val:signal:dec07:n5:rouge,nl,,"N5 (Langlaufer) - Rood"
urn:val:signal:dec07:n5:rouge,en,,"N5 (Cross-country skier) - Red"
urn:val:signal:dec07:n5:rouge,de,,"N5 (Ski-Langläufer)-rot"
urn:val:signal:dec07:n5:vert,fr,,"N5 (Skieur de fond) - Vert"
urn:val:signal:dec07:n5:vert,nl,,"N5 (Langlaufer) - Groen"
urn:val:signal:dec07:n5:vert,en,,"N5 (Cross-country skier) - Green"
urn:val:signal:dec07:n5:vert,de,,"N5 (Ski-Langläufer)-grün"
urn:val:signal:dec07:n6:bleu,fr,,"N6 (Non motorisé multiple) - Bleu"
urn:val:signal:dec07:n6:bleu,nl,,"N6 (Niet gemotoriseerd) - Blauw"
urn:val:signal:dec07:n6:bleu,en,,"N6 (Non-motorised miscellaneous) - Blue"
urn:val:signal:dec07:n6:bleu,de,,"N6 (nicht motorisiert mehrfach)-blau"
urn:val:signal:dec07:n6:jaune,fr,,"N6 (Non motorisé multiple) - Jaune"
urn:val:signal:dec07:n6:jaune,nl,,"N6 (Niet gemotoriseerd) - Geel"
urn:val:signal:dec07:n6:jaune,en,,"N6 (Non-motorised miscellaneous) - Yellow"
urn:val:signal:dec07:n6:jaune,de,,"N6 (nicht motorisiert mehrfach)-gelb"
urn:val:signal:dec07:n6:rouge,fr,,"N6 (Non motorisé multiple) - Rouge"
