nom$estActiveUrn$estActiveUrn_fr$estActiveUrn_nl$estActiveUrn_en$estActiveUrn_de$typeOffre$typeOffre_fr$typeOffre_nl$typeOffre_en$typeOffre_de$adresse1_rue$adresse1_numero$adresse1_boite$adresse1_idIns$adresse1_ins$adresse1_cp$adresse1_localite_fr$adresse1_localite_nl$adresse1_localite_en$adresse1_localite_de$adresse1_commune_fr$adresse1_commune_nl$adresse1_commune_en$adresse1_commune_de$adresse1_lieuPrecis$adresse1_provinceUrn_urn$adresse1_provinceUrn_fr$adresse1_provinceUrn_nl$adresse1_provinceUrn_en$adresse1_provinceUrn_de$adresse1_pays_urn$adresse1_pays_fr$adresse1_pays_nl$adresse1_pays_en$adresse1_pays_de$adresse1_lambertX$adresse1_lambertY$adresse1_latitude$adresse1_longitude$adresse1_altitude$adresse1_noaddress$adresse1_parcNaturel_label$adresse1_parcNaturel_idPn$adresse1_organisme$adresse1_organisme_idMdt
"Roche à l'Appel"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1178$85011$6820$Muno$Muno$Muno$Muno$Florenville$Florenville$Florenville$Florenville$"Si de Muno"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$210781,78125$46975,171875$49,73185$5,21054$339,77573$false$"Parc Naturel de Gaume"$11$Gaume$10
"Sentier du Bois le Prêtre"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$"Rue de Maou"$9$$1077$85046$6721$Anlier$Anlier$Anlier$Anlier$Habay$Habay$Habay$Habay$"Église Notre-Dame de l’Assomption "$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$240222,21875$51767,796875$49,7712$5,61994$436,94394$false$"Parc naturel de la Haute-Sûre et de la forêt d'Anlier"$10$"Haute-Süre Forêt d'Anlier en Ardenne"$30
"Des Cerfs"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$2772$82014$6661$Achouffe$Achouffe$Achouffe$Achouffe$Houffalize$Houffalize$Houffalize$Houffalize$"Centre village"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$250482,015625$97499,8671875$50,18063$5,77436$467,919$false$"Parc naturel des Deux-Ourthes"$9$"Cœur de l'Ardenne, au fil de l'Ourthe & de l'Aisne"$23
"Les Sources de l'Ourdel"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1195$85011$6823$Villers-devant-Orval$Villers-devant-Orval$Villers-devant-Orval$Villers-devant-Orval$Florenville$Florenville$Florenville$Florenville$"Eglise de Villes devant Orval (6823)"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$222298,421875$37190,23828125$49,6426$5,36843$280,70773$false$"Parc Naturel de Gaume"$11$Gaume$10
"Chemin de la Réserve"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$"Rue de Maou"$9$$1077$85046$6721$Anlier$Anlier$Anlier$Anlier$Habay$Habay$Habay$Habay$"Église Notre-Dame de l’Assomption "$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$240222,21875$51767,796875$49,7712$5,61994$436,94394$false$"Parc naturel de la Haute-Sûre et de la forêt d'Anlier"$10$"Haute-Süre Forêt d'Anlier en Ardenne"$30
"Des Randonnées"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1018$82014$6666$Wibrin$Wibrin$Wibrin$Wibrin$Houffalize$Houffalize$Houffalize$Houffalize$"Centre village"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$246922,8125$95983,078125$50,16759$5,72415$433,2055$false$"Parc naturel des Deux-Ourthes"$9$"Cœur de l'Ardenne, au fil de l'Ourthe & de l'Aisne"$23
"Le Castelain"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1185$85011$6820$Sainte-Cécile$Sainte-Cécile$Sainte-Cécile$Sainte-Cécile$Florenville$Florenville$Florenville$Florenville$"Sainte Cécile"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$210781,78125$46975,171875$49,73185$5,21054$339,77573$false$"Parc Naturel de Gaume"$11$Gaume$10
"Sentier du Gris Bofet"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$"Rue de Maou"$9$$1077$85046$6721$Anlier$Anlier$Anlier$Anlier$Habay$Habay$Habay$Habay$"Église Notre-Dame de l’Assomption "$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$240222,21875$51767,796875$49,7712$5,61994$436,94394$false$"Parc naturel de la Haute-Sûre et de la forêt d'Anlier"$10$"Haute-Süre Forêt d'Anlier en Ardenne"$30
"Willancourt-Bois de la Brûlure"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1179$85026$6750$Musson$Musson$Musson$Musson$Musson$Musson$Musson$Musson$"Eglise de Willancourt"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$245529,78125$29759,568359375$49,57254$5,68817$274,53656$false$"Parc Naturel de Gaume"$11$Gaume$10
"Des Crêtes"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1018$82014$6666$Wibrin$Wibrin$Wibrin$Wibrin$Houffalize$Houffalize$Houffalize$Houffalize$"Centre village"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$246922,8125$95983,078125$50,16759$5,72415$433,2055$false$"Parc naturel des Deux-Ourthes"$9$"Cœur de l'Ardenne, au fil de l'Ourthe & de l'Aisne"$23
